I,Q
0.023472505,-0.003522631
0.040300485,0.018953482
0.083806004,0.011481942
0.148242467,-0.027161538
0.205279969,-0.079110348
0.242740927,-0.132303661
0.240976854,-0.161681195
0.196911809,-0.164252782
0.128636278,-0.146096616
0.049899467,-0.123983186
-0.000794925,-0.122981977
-0.009945,-0.160404737
0.027714403,-0.232292147
0.100832691,-0.333904396
0.166968372,-0.421358522
0.198740769,-0.473268829
0.168471868,-0.456577402
0.072084231,-0.359574175
-0.048452844,-0.210755935
-0.163765233,-0.021877809
-0.211742864,0.134452706
-0.172369672,0.237911128
-0.05753458,0.24515387
0.111987926,0.15246948
0.258056401,-0.005195348
0.352686464,-0.209119048
0.357975993,-0.379045934
0.284257136,-0.495505936
0.177182068,-0.516279138
0.066817208,-0.446689572
0.00268689,-0.324228588
-0.015417718,-0.176037891
0.001598974,-0.06914014
0.028697647,-0.019527563
0.041612423,-0.041046145
0.039130826,-0.115496475
0.036670595,-0.194095365
0.058844965,-0.245486494
0.116222152,-0.235272812
0.210639166,-0.159542017
0.298758196,-0.053574032
0.352433202,0.056027459
0.334718284,0.112521575
0.24080027,0.099106307
0.115428645,0.020082014
-0.005325407,-0.10785475
-0.053445042,-0.224773368
-0.010972446,-0.308804121
0.099317371,-0.327100543
0.238537971,-0.28666
0.319665905,-0.216627817
0.300022897,-0.139106831
0.170643742,-0.090237535
-0.052438167,-0.071717647
-0.26805222,-0.078948157
-0.431628624,-0.094256533
-0.469787826,-0.098865485
-0.383834735,-0.084859639
-0.226903366,-0.057241607
-0.047033164,-0.02179163
0.062169173,0.00723872
0.075317579,0.031440379
-0.008745254,0.050293241
-0.162534544,0.071988339
-0.306178044,0.092753044
-0.406098498,0.106391032
-0.418643144,0.096769655
-0.349285579,0.050105242
-0.238147345,-0.024943826
-0.113129394,-0.120354646
-0.031146169,-0.190334162
-0.002108595,-0.211965074
-0.030711153,-0.166149349
-0.102513426,-0.056278008
-0.180240988,0.066144444
-0.248610849,0.170425802
-0.279994728,0.203333939
-0.27362993,0.158561866
-0.236154289,0.065242542
-0.175813394,-0.040952616
-0.11729708,-0.094429227
-0.065186236,-0.071453232
-0.034364221,0.01976018
-0.019082485,0.15309568
-0.01475301,0.255107611
-0.009346796,0.29327516
0.005445157,0.245301584
0.036672995,0.123156621
0.07645844,-0.011865318
0.120555896,-0.130724576
0.148759948,-0.185610087
0.151898008,-0.183601519
0.122308858,-0.146961423
0.055918239,-0.103158025
-0.028221001,-0.079367338
-0.127784464,-0.071526704
-0.210458942,-0.06254703
-0.27282048,-0.025678351
-0.294480529,0.043564226
-0.27456988,0.14237087
-0.219778662,0.222230231
-0.133079938,0.253637089
-0.044087284,0.207993649
0.041776382,0.083690657
0.095741112,-0.064982415
0.117624254,-0.206483296
0.106041744,-0.275302797
0.072268925,-0.264068688
0.039138158,-0.191519306
0.019523947,-0.092084105
0.025084888,-0.026911579
0.053361525,-0.015528163
0.086617759,-0.055710394
0.110993794,-0.118269622
0.109648739,-0.150110689
0.080093426,-0.121184623
0.03729851,-0.032732713
-0.005860288,0.098557998
-0.026175694,0.205377191
-0.020075923,0.25693133
0.003397513,0.225931971
0.02662315,0.124016228
0.024466852,0.010943297
-0.017665241,-0.071592423
-0.090033865,-0.069129212
-0.183214396,0.031283227
-0.255048608,0.190036084
-0.290257416,0.377741458
-0.272609505,0.508395282
-0.207141196,0.55618361
-0.125431084,0.500140261
-0.042987722,0.352368618
0.007364721,0.179898564
0.026188535,0.013383793
0.017124591,-0.076668503
-0.005025325,-0.08015635
-0.021873561,-0.0019829
-0.026064729,0.137482229
-0.01533954,0.27300638
0.008483597,0.379620214
0.038083995,0.412880433
0.077302317,0.373000582
0.12150744,0.284968996
0.178698679,0.172512214
0.236201893,0.089640194
0.293000359,0.04985537
0.327783691,0.062371747
0.335025653,0.108292034
0.310985097,0.14859692
0.259177245,0.156522501
0.200810923,0.116935624
0.141001974,0.03409454
0.096183437,-0.049104305
0.05727972,-0.10490857
0.022935624,-0.097143894
-0.019833293,-0.019931873
-0.063608621,0.092054072
-0.103991094,0.211791015
-0.118605539,0.278466585
-0.095532787,0.27469593
-0.037681807,0.20294343
0.047157652,0.082599998
0.117995398,-0.025767676
0.154320965,-0.09819402
0.133440209,-0.105353216
0.055914364,-0.05696568
-0.042311938,0.011132448
-0.139196867,0.070762233
-0.189605707,0.085335151
-0.18767315,0.047626044
-0.143167679,-0.024651807
-0.077908493,-0.114615995
-0.032082064,-0.179192486
-0.020006004,-0.204655581
-0.044430957,-0.178314582
-0.090612266,-0.101492983
-0.126212432,-0.001736094
-0.134307546,0.113816829
-0.107448903,0.205011228
-0.05237897,0.26538643
0.002278827,0.272666324
0.043983475,0.224826271
0.056795702,0.139047696
0.046943197,0.025951667
0.028797243,-0.066822587
0.014169806,-0.122901954
0.010970747,-0.117928708
0.012776939,-0.057408784
0.006408373,0.021402021
-0.023041966,0.085793223
-0.074887725,0.08762846
-0.148085952,0.00748166
-0.212606806,-0.12910893
-0.255742155,-0.298064648
-0.25641128,-0.41728379
-0.212723445,-0.453706126
-0.142424682,-0.382854788
-0.054331573,-0.214109528
0.020074083,-0.023945278
0.081410115,0.150249553
0.119529224,0.232471298
0.148406498,0.217254573
0.172586695,0.126896234
0.202136283,-0.001602297
0.231203324,-0.095422985
0.256147753,-0.128577712
0.262500112,-0.087435987
0.241090072,0.012363255
0.190956614,0.118748521
0.106163937,0.210311312
0.007728138,0.254124583
-0.107721965,0.260875974
-0.20946933,0.249146401
-0.301325143,0.243327757
-0.360373105,0.259377108
-0.391534877,0.299433096
-0.390491933,0.343111982
-0.362478675,0.376441922
-0.319431128,0.380999368
-0.263093652,0.357181674
-0.2083813,0.321342305
-0.150102662,0.28857321
-0.098872589,0.279316243
-0.048348492,0.296319596
-0.010717862,0.327135388
0.012247022,0.355876491
0.009296224,0.359140945
-0.024165602,0.326517523
-0.07821097,0.26724387
-0.145237776,0.190113524
-0.192887111,0.129146403
-0.205112518,0.093896965
-0.168236677,0.095227357
-0.081660726,0.122803818
0.018660171,0.151720606
0.111960346,0.160959166
0.15100752,0.132938485
0.120858654,0.060447051
0.028499853,-0.032743874
-0.114855789,-0.137209512
-0.249903631,-0.213514786
-0.357513279,-0.257465833
-0.395893181,-0.260554967
-0.364757834,-0.235752493
-0.28146038,-0.205132227
-0.158821317,-0.182195644
-0.041499446,-0.178462637
0.068391368,-0.189445247
0.144334809,-0.201400013
0.198006351,-0.20116407
0.225151426,-0.181064763
0.235849118,-0.140674249
0.232497945,-0.09827709
0.218161137,-0.064358759
0.19852972,-0.056050331
0.174811713,-0.074508281
0.154112513,-0.108554861
0.134084684,-0.147383781
0.11524809,-0.170699119
0.088767484,-0.174019671
0.05406601,-0.15848412
0.004703314,-0.130797525
-0.046434591,-0.104730715
-0.097062001,-0.08179346
-0.129661286,-0.06447808
-0.144660292,-0.04429264
-0.143382596,-0.020259781
-0.137045137,0.010235515
-0.137952494,0.035299926
-0.152183061,0.048905727
-0.172484999,0.044216826
