I,Q
0.09915516,0.005720005
0.156395243,0.048475437
0.262268444,0.008553835
0.419164796,-0.112054501
0.568843723,-0.268440672
0.693583022,-0.407032015
0.695852024,-0.462281871
0.56218403,-0.451610722
0.377815187,-0.383792163
0.161941483,-0.326618812
0.008784618,-0.346046441
-0.035353409,-0.480981701
0.058571392,-0.7225618
0.260372218,-1.025676096
0.459359139,-1.255278226
0.57818639,-1.348171623
0.515731613,-1.264647289
0.285795587,-0.974461402
-0.02809999,-0.526378404
-0.350732438,0.018349182
-0.489153402,0.442632452
-0.415396373,0.675048989
-0.144384481,0.632987172
0.282158973,0.330894043
0.650324028,-0.134834432
0.905598297,-0.65952647
0.944783395,-1.064446548
0.78752072,-1.338430559
0.537880278,-1.383965781
0.27400084,-1.214746645
0.122461154,-0.898194091
0.07084153,-0.502310477
0.094325124,-0.216014678
0.116003408,-0.087851513
0.109527811,-0.141053348
0.078632579,-0.34451544
0.068070733,-0.575610293
0.168654207,-0.721420055
0.372831589,-0.708141814
0.689092658,-0.504752217
0.967777944,-0.189328479
1.090280288,0.147841815
0.997549798,0.353472581
0.692426809,0.351792204
0.284763912,0.13134926
-0.088490537,-0.23979405
-0.208968137,-0.622009108
-0.049114114,-0.918030541
0.304525403,-0.999612203
0.731520205,-0.891163134
0.978616169,-0.656889397
0.918243228,-0.383238945
0.51679884,-0.179557388
-0.155709398,-0.071916405
-0.790666321,-0.094073838
-1.241261583,-0.184043528
-1.327748637,-0.273480533
-1.085561777,-0.319388189
-0.632265082,-0.278832891
-0.116897099,-0.175235963
0.188619872,-0.060305453
0.213644789,0.086092314
-0.043202492,0.203633484
-0.477556796,0.301605003
-0.885740182,0.362515111
-1.177356788,0.346065195
-1.219029861,0.257624505
-1.044181146,0.068158163
-0.752540004,-0.179499895
-0.402768722,-0.455897334
-0.153524709,-0.63864274
-0.033595919,-0.656270871
-0.064562342,-0.470053272
-0.231132594,-0.106398871
-0.45235537,0.249058733
-0.66517813,0.523023293
-0.796020908,0.596304687
-0.840702675,0.435418084
-0.765143355,0.13811314
-0.586471606,-0.172300392
-0.385359434,-0.320298545
-0.182003428,-0.23012644
-0.047659153,0.050839534
0.022426855,0.446897137
0.031512238,0.742443557
0.005896778,0.83397611
-0.011459417,0.689970168
0.046344936,0.33155421
0.145652061,-0.070898654
0.277534048,-0.41478066
0.405977174,-0.552856855
0.448621323,-0.526086501
0.373260518,-0.416984411
0.190609099,-0.267979846
-0.068721967,-0.176298374
-0.371257927,-0.144694454
-0.600423099,-0.114329389
-0.766247583,-0.031596957
-0.823105898,0.142731711
-0.744036651,0.413920767
-0.580608498,0.618547951
-0.371381194,0.67896068
-0.158045758,0.528319188
0.04474621,0.16030468
0.181123206,-0.2596289
0.262706124,-0.629879714
0.267851174,-0.794992054
0.233186809,-0.743350773
0.170722475,-0.532125579
0.122675909,-0.271519609
0.139679489,-0.098706109
0.185089099,-0.072836411
0.247371439,-0.200045425
0.300700453,-0.361061214
0.298210733,-0.429423254
0.26377643,-0.317743695
0.179740628,-0.040348752
0.069943558,0.33619481
0.008453083,0.625316285
-0.03052793,0.741782733
-0.016299368,0.631798604
0.020480297,0.337849036
-0.014811794,0.035015151
-0.124370063,-0.173089518
-0.289056814,-0.145508634
-0.497387115,0.174232538
-0.652815239,0.630920178
-0.753588421,1.104760749
-0.743999625,1.399601451
-0.612404338,1.49516917
-0.442724762,1.353180278
-0.251728595,0.957865967
-0.109362239,0.475047317
-0.037047863,0.020980965
-0.025220781,-0.214471455
-0.024553039,-0.215453046
-0.0179123,0.015754694
0.005341149,0.412938951
0.03592732,0.794216094
0.067577439,1.088211151
0.107888055,1.179304439
0.186093869,1.060833771
0.28818395,0.805119824
0.456013352,0.482523848
0.649184911,0.245867249
0.830712078,0.141957195
0.955903327,0.182891325
1.003204536,0.325938805
0.928134804,0.468472759
0.754059329,0.49371912
0.559638896,0.379622945
0.36276533,0.143159925
0.231497782,-0.097579442
0.136530838,-0.256130651
0.061317874,-0.23852315
-0.022681162,-0.002317137
-0.125926957,0.320760379
-0.256170292,0.642417134
-0.306963475,0.818385733
-0.271466938,0.784285188
-0.15635887,0.554526369
0.069909789,0.195359812
0.268314564,-0.114642607
0.386054856,-0.308184504
0.365533572,-0.291618014
0.179421955,-0.101878836
-0.08246618,0.100610708
-0.374369655,0.267257027
-0.556801759,0.284274764
-0.576516136,0.113720798
-0.465755166,-0.121462951
-0.283499571,-0.382214451
-0.147347501,-0.560020684
-0.094941259,-0.609649339
-0.126291684,-0.506814476
-0.227143959,-0.259741867
-0.297883377,0.018801962
-0.309283266,0.337875094
-0.254538964,0.590829669
-0.109068066,0.743077586
0.010359357,0.762622439
0.084487316,0.632799002
0.097938609,0.398616792
0.052282653,0.073720485
0.018816641,-0.19582802
0.008480291,-0.349187662
0.033837151,-0.338581061
0.077575005,-0.150492472
0.054897798,0.079664226
-0.054903227,0.259108798
-0.242420424,0.278233644
-0.503431841,0.032119242
-0.716774111,-0.37348862
-0.837258568,-0.861704338
-0.781445779,-1.226135514
-0.582371433,-1.346379763
-0.345544526,-1.157199289
-0.040273112,-0.686494003
0.203677946,-0.130118104
0.361926718,0.388535494
0.433348842,0.645783645
0.447912286,0.604706264
0.467718104,0.346303398
0.537939231,-0.012299342
0.636808438,-0.283949955
0.749276703,-0.362116232
0.804576001,-0.21392939
0.768005413,0.0882561
0.626381897,0.401610813
0.357934294,0.68173967
0.035169861,0.820562051
-0.331700417,0.844535924
-0.640623511,0.810923375
-0.918347811,0.776646266
-1.073287739,0.78938011
-1.142161828,0.866998693
-1.147463411,0.955344207
-1.074037297,1.026630679
-0.95735785,1.037230729
-0.804450294,0.967398962
-0.655438628,0.878162318
-0.478653348,0.810569071
-0.307171069,0.785596726
-0.150659598,0.833997111
-0.038309657,0.9293515
0.015236158,1.015712971
-0.005842994,1.037413817
-0.128385347,0.966568706
-0.309200662,0.808434656
-0.491860425,0.592826136
-0.619916319,0.409695089
-0.65008192,0.284595118
-0.508572082,0.256960876
-0.222502674,0.303121816
0.068160701,0.373300222
0.325023011,0.398087703
0.417374052,0.346393299
0.292385602,0.185142817
-0.005850447,-0.046366871
-0.423724174,-0.311472246
-0.791908148,-0.54209352
-1.057566097,-0.713436075
-1.121435021,-0.761098716
-1.020798659,-0.733850139
-0.794073262,-0.68890307
-0.441769306,-0.649451533
-0.106593603,-0.624485608
0.218582989,-0.642492256
0.445218532,-0.659034332
0.610175823,-0.621198024
0.710202822,-0.540769304
0.741134716,-0.40743928
0.734772386,-0.282688668
0.688981531,-0.175659885
0.602514189,-0.144033521
0.512467294,-0.209555842
0.439762623,-0.302631405
0.386726606,-0.419155063
0.340718387,-0.482716274
0.267182589,-0.471927053
0.169715074,-0.429780991
0.025522411,-0.346536482
-0.11349863,-0.276670597
-0.266948485,-0.20872083
-0.366160466,-0.156773476
-0.40814604,-0.12123042
-0.418012107,-0.051968066
-0.389639627,0.033227412
-0.395954287,0.101831936
-0.45537609,0.146344752
-0.514252603,0.126144374
-0.564047808,0.072364356
-0.517351032,0.01943713
-0.361417404,0.016333971
-0.133701996,0.104717091
0.139530395,0.269788714
0.293022954,0.448841757
0.310886971,0.591503732
0.136336061,0.592757981
-0.176790604,0.396786074
-0.466120786,0.080345883
-0.679218271,-0.293149242
-0.660283761,-0.567314362
-0.454079489,-0.693658372
-0.131534589,-0.666777531
0.263572986,-0.534414888
0.511723613,-0.396541106
0.649015119,-0.345089705
0.625760365,-0.440698486
0.487610468,-0.620310938
0.360291011,-0.748898479
0.220745241,-0.771738927
0.144954621,-0.629171838
0.07807439,-0.343437964
-0.008056251,-0.092221622
-0.121201689,0.070748009
-0.267201142,0.036667736
-0.409770936,-0.184272755
-0.496958865,-0.453686303
-0.516634497,-0.695389222
-0.476803709,-0.735641311
-0.423978952,-0.577456617
-0.357684236,-0.327963576
-0.290046186,-0.020868799
-0.216826851,0.142562047
-0.069091228,0.11113733
0.131538649,-0.046807669
0.382387708,-0.283446488
0.594737815,-0.463681273
0.713304294,-0.53258451
0.638046758,-0.494909099
0.330733894,-0.375759425
-0.109278464,-0.266840208
-0.584141632,-0.222887262
-0.860344997,-0.231290099
-0.905015701,-0.270432138
