I_in,Q_in,I_out,Q_out
0.069362334,0.04963908,0.054334731,0.05827119
0.105014368,0.163974185,0.088700763,0.203747787
0.125092158,0.27936227,0.117313775,0.329343901
0.132043722,0.358543547,0.133451548,0.422300615
0.12915988,0.369490925,0.136028854,0.443490404
0.119530002,0.295483447,0.109623238,0.365223598
0.105497043,0.141473076,0.083363644,0.192120956
0.088634512,-0.065295541,0.074317112,-0.044324502
0.070074117,-0.280894611,0.076009482,-0.292675941
0.050912057,-0.455296708,0.040813064,-0.508638566
0.03243762,-0.545240527,-0.00525855,-0.612056476
0.016042613,-0.525954945,-0.017383412,-0.601988915
0.002835482,-0.398505274,0.018265248,-0.466184293
-0.006862736,-0.190603587,0.042466956,-0.230132022
-0.013878083,0.049577642,0.024948468,0.049080134
-0.020152184,0.265175949,-0.002712786,0.287293107
-0.028190154,0.405032754,-0.011385402,0.461675257
-0.04004565,0.436955256,-0.026177255,0.506536769
-0.056101035,0.356286631,-0.074269855,0.419877811
-0.074047626,0.187388339,-0.113886052,0.221765168
-0.088506522,-0.022516153,-0.13516939,-0.023403042
-0.091622712,-0.215640913,-0.11946155,-0.24091636
-0.074721453,-0.338891617,-0.097187399,-0.389249103
-0.030787628,-0.358019721,-0.040574872,-0.424821557
0.042796371,-0.266846752,0.072157761,-0.317981947
0.142036522,-0.089010495,0.19540175,-0.104855548
0.255438052,0.128305972,0.317047127,0.141066306
0.365015658,0.327009956,0.456449977,0.348380163
0.449326009,0.45368478,0.587302488,0.449036413
0.488067026,0.47388212,0.627539939,0.448919949
0.467239384,0.381230694,0.57580979,0.382887865
0.383522674,0.198917047,0.438425149,0.242424481
0.246524251,-0.026772837,0.263877071,0.03148552
0.077969302,-0.238953434,0.091118023,-0.207698972
-0.092347364,-0.385135527,-0.100187917,-0.398568509
-0.233115468,-0.430559231,-0.280081144,-0.463879001
-0.319024639,-0.366293287,-0.368296175,-0.397169464
-0.33724708,-0.210126438,-0.368584293,-0.243249238
-0.290990874,-0.00039046,-0.309466963,-0.035006303
-0.198903919,0.215154741,-0.213353929,0.202948854
-0.090217905,0.391964964,-0.100060149,0.417691246
0.003235469,0.499266159,0.019794528,0.550407898
0.055999525,0.525778158,0.084528471,0.590782537
0.056388131,0.479508802,0.065441273,0.547437346
0.010047306,0.382378585,-0.024474736,0.454159213
-0.061546796,0.261916733,-0.128997906,0.317289271
-0.127419797,0.14292529,-0.204791109,0.172236999
-0.156552722,0.041680046,-0.228772498,0.043823921
-0.127722673,-0.035900871,-0.176951277,-0.043421403
-0.036762191,-0.0922034,-0.046050275,-0.111609844
0.101059908,-0.133409788,0.117353473,-0.152347793
0.25442667,-0.164692046,0.301947758,-0.191921792
0.38428902,-0.187142627,0.449859948,-0.238629705
0.454743122,-0.197602357,0.523050178,-0.256595986
0.443268119,-0.191269059,0.516184026,-0.246442601
0.347260415,-0.165784661,0.420063625,-0.185845938
0.184888284,-0.124851643,0.248757526,-0.109087158
-0.009996258,-0.079564629,0.024192613,-0.059177404
-0.197343768,-0.046510724,-0.19375823,-0.040282576
-0.3419148,-0.042971033,-0.369861354,-0.050069954
-0.422498,-0.080767178,-0.470326095,-0.079338652
-0.436632309,-0.160979538,-0.494972225,-0.173157672
-0.39957267,-0.271642512,-0.469207811,-0.303294146
-0.338058913,-0.389608527,-0.409097193,-0.445730083
-0.281054433,-0.486367425,-0.366563126,-0.558712826
-0.250499924,-0.536197163,-0.340827508,-0.606399972
-0.255005144,-0.524107155,-0.34047883,-0.595195987
-0.288337503,-0.450956447,-0.358973014,-0.52303136
-0.332928865,-0.333940651,-0.386452413,-0.404239687
-0.366964395,-0.202091547,-0.409692578,-0.266438901
-0.372490074,-0.088044469,-0.417279828,-0.151675821
-0.341741633,-0.01856201,-0.385285588,-0.086501335
-0.279612718,-0.006741193,-0.323351061,-0.079404833
-0.201577817,-0.048323118,-0.238978962,-0.124607618
-0.127972927,-0.12323367,-0.152084876,-0.201736553
-0.076766556,-0.201836036,-0.091223522,-0.285557857
-0.057411612,-0.253910644,-0.065567127,-0.344262536
-0.067915168,-0.257569125,-0.068287353,-0.336285884
-0.096076023,-0.205405207,-0.0951622,-0.272907297
-0.124348239,-0.106133318,-0.12117335,-0.154061722
-0.136519483,0.018567048,-0.146748879,-0.010667932
-0.123785759,0.140788638,-0.139678113,0.137268165
-0.08805971,0.234465043,-0.118279267,0.252021109
-0.041363142,0.282253471,-0.069827225,0.318353791
-0.001556691,0.279265829,-0.041590002,0.321037611
0.014048868,0.232825755,-0.035997924,0.272624134
-0.005073187,0.158754845,-0.062827198,0.19493608
-0.058776717,0.075750138,-0.113689233,0.096650446
-0.136039989,-0.000126677,-0.190590534,0.001101629
-0.218482913,-0.059082041,-0.282215467,-0.073315435
-0.286341804,-0.098409049,-0.354039258,-0.123279407
-0.324807934,-0.120636687,-0.39809328,-0.139293615
-0.328552511,-0.130095002,-0.398931699,-0.158381298
-0.302937947,-0.12946091,-0.363962971,-0.168772658
-0.261598595,-0.117726589,-0.312355784,-0.169175146
-0.221336049,-0.090385169,-0.263592262,-0.145013985
-0.196169944,-0.041715256,-0.237101261,-0.094978673
-0.192611047,0.031792614,-0.237667809,-0.004137831
-0.207721158,0.12828756,-0.258809708,0.107872105
-0.230495324,0.239038913,-0.293020515,0.238013571
-0.245928908,0.349330309,-0.302396701,0.382254705
-0.240236387,0.441695826,-0.275243183,0.506704145
-0.20537776,0.50058279,-0.223338161,0.579854903
-0.141407729,0.516984418,-0.14654272,0.601423832
-0.056031698,0.491527085,-0.065506162,0.569595127
0.038209881,0.434937341,0.016290153,0.505395632
0.127891628,0.365604467,0.105187025,0.43460962
0.202250673,0.304839293,0.193032695,0.374752691
0.255099804,0.27113157,0.256287431,0.34031325
0.284642191,0.275016824,0.298184977,0.350668182
0.291634952,0.315997911,0.322379658,0.393947655
